Fecha ,Pe_Diaria(mm)
1-Jan-80,0.00
2-Jan-80,0.00
3-Jan-80,0.00
4-Jan-80,0.00
5-Jan-80,0.00
6-Jan-80,0.00
7-Jan-80,0.00
8-Jan-80,0.00
9-Jan-80,0.00
10-Jan-80,0.00
11-Jan-80,0.00
12-Jan-80,0.00
13-Jan-80,0.00
14-Jan-80,0.00
15-Jan-80,0.00
16-Jan-80,0.00
17-Jan-80,18.50
18-Jan-80,0.00
19-Jan-80,0.00
20-Jan-80,0.00
21-Jan-80,0.00
22-Jan-80,0.00
23-Jan-80,0.00
24-Jan-80,0.00
25-Jan-80,0.00
26-Jan-80,0.00
27-Jan-80,0.00
28-Jan-80,0.00
29-Jan-80,0.00
30-Jan-80,0.00
31-Jan-80,0.00
1-Feb-80,0.00
2-Feb-80,0.00
3-Feb-80,0.00
4-Feb-80,0.00
5-Feb-80,0.00
6-Feb-80,0.00
7-Feb-80,0.00
8-Feb-80,0.00
9-Feb-80,0.00
10-Feb-80,0.00
11-Feb-80,0.00
12-Feb-80,0.00
13-Feb-80,0.00
14-Feb-80,0.00
15-Feb-80,0.00
16-Feb-80,5.80
17-Feb-80,24.30
18-Feb-80,0.00
19-Feb-80,1.80
20-Feb-80,13.00
21-Feb-80,0.00
22-Feb-80,0.00
23-Feb-80,0.00
24-Feb-80,0.00
25-Feb-80,0.00
26-Feb-80,0.00
27-Feb-80,0.00
28-Feb-80,0.00
29-Feb-80,0.00
1-Mar-80,0.00
2-Mar-80,0.00
3-Mar-80,0.00
4-Mar-80,0.00
5-Mar-80,0.00
6-Mar-80,0.00
7-Mar-80,0.00
8-Mar-80,0.00
9-Mar-80,0.00
10-Mar-80,0.00
11-Mar-80,0.00
12-Mar-80,0.00
13-Mar-80,0.00
14-Mar-80,0.00
15-Mar-80,0.00
16-Mar-80,0.00
17-Mar-80,0.00
18-Mar-80,0.00
19-Mar-80,0.00
20-Mar-80,0.00
21-Mar-80,0.00
22-Mar-80,0.00
23-Mar-80,0.00
24-Mar-80,0.00
25-Mar-80,0.00
26-Mar-80,0.00
27-Mar-80,0.00
28-Mar-80,0.00
29-Mar-80,0.00
30-Mar-80,0.00
31-Mar-80,0.00
1-Apr-80,0.00
2-Apr-80,0.00
3-Apr-80,0.00
4-Apr-80,0.00
5-Apr-80,0.00
6-Apr-80,6.70
7-Apr-80,4.00
8-Apr-80,1.40
9-Apr-80,0.00
10-Apr-80,0.00
11-Apr-80,5.00
12-Apr-80,0.00
13-Apr-80,0.00
14-Apr-80,0.00
15-Apr-80,0.00
16-Apr-80,0.00
17-Apr-80,0.00
18-Apr-80,0.00
19-Apr-80,0.60
20-Apr-80,0.00
21-Apr-80,51.50
22-Apr-80,6.60
23-Apr-80,0.00
24-Apr-80,2.60
25-Apr-80,0.00
26-Apr-80,0.50
27-Apr-80,0.00
28-Apr-80,0.00
29-Apr-80,0.00
30-Apr-80,0.00
1-May-80,0.00
2-May-80,1.90
3-May-80,1.90
4-May-80,0.00
5-May-80,3.30
6-May-80,0.50
7-May-80,1.40
8-May-80,5.80
9-May-80,0.00
10-May-80,0.00
11-May-80,0.20
12-May-80,0.30
13-May-80,0.00
14-May-80,2.10
15-May-80,0.00
16-May-80,0.20
17-May-80,15.00
18-May-80,0.00
19-May-80,0.00
20-May-80,0.00
21-May-80,0.00
22-May-80,4.00
23-May-80,6.10
24-May-80,0.00
25-May-80,0.00
26-May-80,3.90
27-May-80,0.00
28-May-80,0.20
29-May-80,45.60
30-May-80,0.00
31-May-80,3.00
1-Jun-80,15.00
2-Jun-80,0.00
3-Jun-80,0.00
4-Jun-80,29.70
5-Jun-80,0.70
6-Jun-80,0.10
7-Jun-80,0.20
8-Jun-80,0.00
9-Jun-80,2.30
10-Jun-80,1.20
11-Jun-80,0.00
12-Jun-80,32.40
13-Jun-80,0.00
14-Jun-80,0.00
15-Jun-80,0.00
16-Jun-80,0.00
17-Jun-80,0.00
18-Jun-80,0.60
19-Jun-80,5.90
20-Jun-80,11.40
21-Jun-80,0.00
22-Jun-80,2.20
23-Jun-80,0.00
24-Jun-80,0.00
25-Jun-80,0.00
26-Jun-80,0.00
27-Jun-80,0.00
28-Jun-80,0.00
29-Jun-80,0.00
30-Jun-80,0.00
1-Jul-80,0.00
2-Jul-80,0.50
3-Jul-80,2.20
4-Jul-80,0.00
5-Jul-80,0.00
6-Jul-80,0.50
7-Jul-80,21.30
8-Jul-80,0.00
9-Jul-80,12.80
10-Jul-80,19.40
11-Jul-80,0.00
12-Jul-80,0.00
13-Jul-80,0.40
14-Jul-80,0.00
15-Jul-80,5.00
16-Jul-80,0.20
17-Jul-80,0.90
18-Jul-80,0.60
19-Jul-80,0.00
20-Jul-80,0.00
21-Jul-80,0.00
22-Jul-80,0.00
23-Jul-80,5.00
24-Jul-80,0.00
25-Jul-80,2.50
26-Jul-80,0.00
27-Jul-80,0.00
28-Jul-80,0.00
29-Jul-80,0.00
30-Jul-80,0.00
31-Jul-80,2.00
1-Aug-80,3.90
2-Aug-80,0.00
3-Aug-80,0.00
4-Aug-80,0.00
5-Aug-80,8.60
6-Aug-80,0.00
7-Aug-80,16.00
8-Aug-80,57.30
9-Aug-80,1.80
10-Aug-80,0.70
11-Aug-80,0.00
12-Aug-80,0.00
13-Aug-80,0.00
14-Aug-80,0.00
15-Aug-80,4.20
16-Aug-80,2.20
17-Aug-80,0.80
18-Aug-80,9.60
19-Aug-80,24.20
20-Aug-80,0.00
21-Aug-80,39.00
22-Aug-80,2.90
23-Aug-80,0.00
24-Aug-80,0.00
25-Aug-80,20.00
26-Aug-80,1.00
27-Aug-80,3.60
28-Aug-80,5.60
29-Aug-80,0.60
30-Aug-80,0.00
31-Aug-80,4.60
1-Sep-80,0.00
2-Sep-80,6.20
3-Sep-80,0.00
4-Sep-80,6.00
5-Sep-80,0.00
6-Sep-80,0.80
7-Sep-80,0.00
8-Sep-80,2.50
9-Sep-80,0.20
10-Sep-80,0.00
11-Sep-80,0.00
12-Sep-80,0.50
13-Sep-80,3.70
14-Sep-80,3.90
15-Sep-80,6.40
16-Sep-80,0.00
17-Sep-80,1.60
18-Sep-80,7.20
19-Sep-80,0.00
20-Sep-80,0.50
21-Sep-80,0.90
22-Sep-80,0.00
23-Sep-80,0.00
24-Sep-80,14.50
25-Sep-80,0.20
26-Sep-80,0.30
27-Sep-80,0.90
28-Sep-80,1.60
29-Sep-80,2.20
30-Sep-80,20.20
1-Oct-80,5.00
2-Oct-80,1.10
3-Oct-80,1.00
4-Oct-80,0.90
5-Oct-80,4.40
6-Oct-80,38.30
7-Oct-80,0.50
8-Oct-80,0.00
9-Oct-80,1.40
10-Oct-80,0.00
11-Oct-80,6.50
12-Oct-80,0.00
13-Oct-80,0.00
14-Oct-80,0.00
15-Oct-80,3.00
16-Oct-80,2.00
17-Oct-80,0.00
18-Oct-80,23.00
19-Oct-80,0.00
20-Oct-80,7.80
21-Oct-80,1.90
22-Oct-80,0.00
23-Oct-80,0.00
24-Oct-80,3.00
25-Oct-80,0.00
26-Oct-80,0.00
27-Oct-80,8.20
28-Oct-80,0.00
29-Oct-80,3.00
30-Oct-80,1.10
31-Oct-80,0.57
1-Nov-80,1.00
2-Nov-80,5.60
3-Nov-80,2.50
4-Nov-80,4.00
5-Nov-80,120.70
6-Nov-80,0.20
7-Nov-80,20.00
8-Nov-80,22.60
9-Nov-80,0.00
10-Nov-80,0.00
11-Nov-80,0.00
12-Nov-80,16.60
13-Nov-80,0.00
14-Nov-80,0.80
15-Nov-80,0.00
16-Nov-80,0.00
17-Nov-80,0.00
18-Nov-80,0.00
19-Nov-80,0.00
20-Nov-80,0.00
21-Nov-80,0.00
22-Nov-80,0.00
23-Nov-80,0.00
24-Nov-80,0.00
25-Nov-80,0.00
26-Nov-80,0.00
27-Nov-80,0.00
28-Nov-80,0.00
29-Nov-80,0.00
30-Nov-80,0.00
1-Dec-80,0.00
2-Dec-80,0.00
3-Dec-80,0.00
4-Dec-80,0.00
5-Dec-80,0.00
6-Dec-80,0.00
7-Dec-80,0.00
8-Dec-80,6.60
9-Dec-80,0.00
10-Dec-80,0.00
11-Dec-80,0.00
12-Dec-80,8.60
13-Dec-80,0.70
